,run,algorithm,skips,acc,nmi,ari,L,Lc,Lr,silhouette
82,107,causal,True,0.5065,0.17692,0.11516,0.005289999768137932,0.005400000140070915,0.004310000222176313,0.9777718186378479
83,108,causal,True,0.63517,0.25302,0.22627,0.008139999583363533,0.00848000030964613,0.005090000107884407,0.9768667221069336
84,109,causal,True,0.50933,0.18485,0.10491,0.009080000221729279,0.009600000455975533,0.0044200001284480095,0.9775895476341248
85,110,causal,True,0.46633,0.17966,0.16745,0.014379999600350857,0.01537999976426363,0.005400000140070915,0.9658878445625305
86,111,causal,False,0.41467,0.08154,0.05268,0.009069999679923058,0.009359999559819698,0.006479999981820583,0.9778608679771423
87,112,causal,False,0.46333,0.09201,0.05354,0.009530000388622284,0.009890000335872173,0.006260000169277191,0.9701951742172241
88,113,causal,False,0.50217,0.14217,0.06351,0.0027600000612437725,0.0026199999265372753,0.004000000189989805,0.982495129108429
89,114,causal,False,0.565,0.19545,0.17002,0.004129999782890081,0.004089999943971634,0.004470000043511391,0.9737013578414917
90,115,causal,False,0.51917,0.19588,0.16377,0.01795000024139881,0.019370000809431076,0.005100000184029341,0.9547889828681946
91,116,causal,False,0.5865,0.24925,0.19396,0.004629999864846468,0.005009999964386225,0.0011899999808520079,0.9786931872367859
92,117,causal,False,0.625,0.27276,0.24629,0.0064199999906122684,0.006630000192672014,0.004579999949783087,0.9742845892906189
93,118,causal,False,0.46883,0.15197,0.0731,0.004550000187009573,0.004600000102072954,0.004129999782890081,0.9616230726242065
94,119,causal,False,0.5895,0.24468,0.19466,0.008139999583363533,0.008510000072419643,0.0047900001518428326,0.9733024835586548
95,120,causal,False,0.57317,0.21496,0.1349,0.0045900000259280205,0.004629999864846468,0.004279999993741512,0.9700212478637695
96,121,causal,False,0.44633,0.04867,0.03483,0.011140000075101852,0.012020000256597996,0.003160000080242753,0.9711959362030029
97,122,causal,False,0.55017,0.15154,0.12427,0.011189999990165234,0.011889999732375145,0.0048699998296797276,0.9381079077720642
98,123,causal,False,0.658,0.30572,0.24969,0.010599999688565731,0.011230000294744968,0.00494999997317791,0.9769842028617859
99,124,causal,False,0.53667,0.19344,0.12659,0.0044999998062849045,0.004519999958574772,0.00431999983265996,0.9819886088371277
100,125,causal,False,0.548,0.24193,0.19058,0.016489999368786812,0.017720000818371773,0.0053900000639259815,0.9596512317657471
101,126,causal,False,0.7285,0.40961,0.34094,0.018479999154806137,0.019990000873804092,0.004939999897032976,0.97906094789505
102,127,causal,False,0.51117,0.19152,0.12447,0.0020000000949949026,0.0019199999514967203,0.0028099999763071537,0.9785228967666626
103,128,causal,False,0.55133,0.21696,0.16094,0.005940000060945749,0.00610999995842576,0.004339999984949827,0.9828798770904541
104,129,causal,False,0.51317,0.17258,0.10556,0.04092000052332878,0.04496999830007553,0.004449999891221523,0.9531804919242859
105,130,causal,False,0.58133,0.23525,0.18949,0.013659999705851078,0.014630000106990337,0.004900000058114529,0.9352111220359802
106,131,causal,False,0.51233,0.13093,0.10324,0.0101500004529953,0.010710000060498714,0.005100000184029341,0.9495542645454407
107,132,causal,False,0.44117,0.10969,0.07048,0.004449999891221523,0.004279999993741512,0.006029999814927578,0.9852350354194641
108,133,causal,False,0.48933,0.18649,0.1352,0.014499999582767487,0.015479999594390392,0.005679999943822622,0.9621896147727966
109,134,causal,False,0.48767,0.18167,0.10886,0.004220000002533197,0.004310000222176313,0.0034799999557435513,0.9808869361877441
110,135,causal,False,0.521,0.17396,0.10144,0.019419999793171883,0.02101000025868416,0.005059999879449606,0.9779697060585022
111,136,causal,False,0.708,0.3539,0.31535,0.009279999881982803,0.009800000116229057,0.0045900000259280205,0.9842340350151062
112,137,causal,False,0.63817,0.27867,0.24298,0.010529999621212482,0.011180000379681587,0.004689999856054783,0.9791303873062134
113,138,causal,False,0.61117,0.22625,0.20038,0.013030000030994415,0.014170000329613686,0.0027699999045580626,0.9772947430610657
114,139,causal,False,0.60117,0.23304,0.19263,0.010060000233352184,0.010639999993145466,0.004819999914616346,0.9750012755393982
115,140,causal,False,0.5935,0.31491,0.20627,0.008679999969899654,0.009229999966919422,0.0037299999967217445,0.9674350023269653
116,141,causal,False,0.69033,0.33658,0.29917,0.015969999134540558,0.017179999500513077,0.005080000031739473,0.9736954569816589
117,142,causal,False,0.5625,0.23642,0.1954,0.005289999768137932,0.005659999791532755,0.0018899999558925629,0.9753370881080627
118,143,causal,False,0.47517,0.14687,0.04864,0.0037899999879300594,0.003700000001117587,0.0045900000259280205,0.9770392775535583
119,144,causal,False,0.48517,0.13951,0.10319,0.009879999794065952,0.010490000247955322,0.004379999823868275,0.9777417182922363
120,145,causal,False,0.67417,0.31601,0.27366,0.008030000142753124,0.008369999937713146,0.0049600000493228436,0.9767623543739319
121,146,causal,False,0.56167,0.2086,0.14386,0.009109999984502792,0.00965999998152256,0.004139999859035015,0.9664791822433472
122,147,causal,False,0.46667,0.11369,0.11364,0.01940000057220459,0.020969999954104424,0.0052999998442828655,0.9635036587715149
123,148,causal,False,0.54883,0.26659,0.22983,0.02223999984562397,0.024119999259710312,0.005289999768137932,0.9540512561798096
124,149,causal,False,0.53433,0.17975,0.10795,0.0065899998880922794,0.006949999835342169,0.003389999968931079,0.929155707359314
125,150,causal,False,0.61333,0.23603,0.2215,0.01269999984651804,0.013559999875724316,0.004910000134259462,0.9584046006202698
126,151,causal,False,0.58917,0.2347,0.17555,0.006459999829530716,0.007019999902695417,0.0014100000262260437,0.9840273261070251
127,152,acausal,True,0.44817,0.15379,0.1135,0.005239999853074551,0.00559999980032444,0.001970000099390745,0.975458025932312
128,153,acausal,True,0.603,0.23534,0.19328,0.006550000049173832,0.00675999978557229,0.004579999949783087,0.9719914793968201
129,154,acausal,True,0.50683,0.17511,0.09162,0.0026700000744313,0.0025100000202655792,0.0040799998678267,0.9827794432640076
130,155,acausal,True,0.478,0.11577,0.07,0.012009999714791775,0.01281999982893467,0.0047599999234080315,0.9422966837882996
131,156,acausal,True,0.56483,0.16285,0.12673,0.005950000137090683,0.00610999995842576,0.00443999981507659,0.9678901433944702
132,157,acausal,True,0.35983,0.00295,0.00227,0.019379999488592148,0.020969999954104424,0.005059999879449606,0.9094419479370117
133,158,acausal,True,0.64017,0.27191,0.26061,0.008949999697506428,0.009429999627172947,0.004670000169426203,0.9736000299453735
134,159,acausal,True,0.50033,0.18021,0.11791,0.011099999770522118,0.011839999817311764,0.004459999967366457,0.9580543637275696
135,160,acausal,True,0.70467,0.36907,0.31533,0.00646999990567565,0.006639999803155661,0.004910000134259462,0.9725741147994995
136,161,acausal,True,0.68233,0.32621,0.28538,0.014530000276863575,0.015769999474287033,0.0034199999645352364,0.9605100750923157
137,162,acausal,True,0.48983,0.16713,0.09756,0.006769999861717224,0.007079999893903732,0.004009999800473452,0.963593602180481
138,163,acausal,True,0.39267,0.0313,0.02588,0.02085999958217144,0.022630000486969948,0.0049299998208880424,0.9313496947288513
139,164,acausal,True,0.67717,0.35804,0.24984,0.006390000227838755,0.006599999964237213,0.004459999967366457,0.9678935408592224
140,165,acausal,True,0.55767,0.17819,0.16112,0.005080000031739473,0.005499999970197678,0.0012499999720603228,0.9763014316558838
141,166,acausal,True,0.44617,0.0883,0.03585,0.006370000075548887,0.0066200001165270805,0.004209999926388264,0.9737094640731812
142,167,acausal,True,0.60617,0.25133,0.20437,0.007540000136941671,0.008139999583363533,0.0021299999207258224,0.9408438205718994
143,168,acausal,True,0.54417,0.18465,0.10685,0.005690000019967556,0.005979999899864197,0.0030799999367445707,0.9773027896881104
144,169,acausal,True,0.50417,0.19992,0.1383,0.003710000077262521,0.003930000122636557,0.0017500000540167093,0.9733120799064636
145,170,acausal,True,0.68683,0.32903,0.3319,0.013860000297427177,0.014820000156760216,0.005140000022947788,0.9641255140304565
146,171,acausal,True,0.52567,0.20431,0.13939,0.003160000080242753,0.0033499998971819878,0.0014199999859556556,0.9620429873466492
147,172,acausal,True,0.62867,0.24675,0.21509,0.00803999975323677,0.00839999970048666,0.004769999999552965,0.9654590487480164
148,173,acausal,True,0.53317,0.19471,0.15464,0.0021800000686198473,0.0022899999748915434,0.0011699999449774623,0.9742387533187866
149,174,acausal,True,0.55867,0.22694,0.13832,0.001769999973475933,0.0014700000174343586,0.004470000043511391,0.9740318059921265
150,175,acausal,True,0.56533,0.15909,0.1375,0.005489999894052744,0.005669999867677689,0.0038999998942017555,0.9800071716308594
151,176,acausal,True,0.40533,0.08105,0.03739,0.01030999980866909,0.011060000397264957,0.003530000103637576,0.9546290636062622
152,177,acausal,True,0.60333,0.19301,0.16311,0.01334999967366457,0.014399999752640724,0.0038999998942017555,0.9651728272438049
153,178,acausal,True,0.44667,0.0991,0.05821,0.004629999864846468,0.004730000160634518,0.0037299999967217445,0.9790999293327332
154,179,acausal,True,0.55517,0.18965,0.14869,0.004970000125467777,0.005009999964386225,0.004610000178217888,0.9512788653373718
155,180,acausal,True,0.508,0.25419,0.23763,0.010239999741315842,0.011090000160038471,0.0026599999982863665,0.9699290990829468
156,181,acausal,True,0.581,0.26701,0.23448,0.008390000090003014,0.008940000087022781,0.003449999960139394,0.9681339263916016
157,182,acausal,True,0.50533,0.12978,0.109,0.013659999705851078,0.014670000411570072,0.004629999864846468,0.9600025415420532
158,183,acausal,True,0.607,0.24764,0.18053,0.00750999990850687,0.007799999788403511,0.004819999914616346,0.9671047925949097
159,184,acausal,True,0.63233,0.25587,0.25905,0.017349999397993088,0.018869999796152115,0.003700000001117587,0.945064127445221
160,185,acausal,True,0.48967,0.11649,0.1098,0.014240000396966934,0.015239999629557133,0.005210000090301037,0.965498685836792
161,186,acausal,True,0.66717,0.29907,0.29127,0.0066200001165270805,0.0072200000286102295,0.0012400000123307109,0.9639907479286194
162,187,acausal,True,0.4895,0.15568,0.11349,0.01363999955356121,0.014809999614953995,0.0031300000846385956,0.9504767060279846
163,188,acausal,True,0.45567,0.11765,0.10763,0.009639999829232693,0.010230000130832195,0.004290000069886446,0.9446114897727966
164,189,acausal,True,0.62367,0.24866,0.21926,0.009589999914169312,0.01018999982625246,0.004269999917596579,0.9556387662887573
165,190,acausal,True,0.49983,0.22587,0.15247,0.01576000079512596,0.01696999929845333,0.004860000219196081,0.954924464225769
166,191,acausal,True,0.6205,0.27651,0.24347,0.009650000371038914,0.01018999982625246,0.0047900001518428326,0.9640207290649414
167,192,acausal,True,0.7035,0.34897,0.37881,0.006089999806135893,0.006289999932050705,0.004279999993741512,0.9742535948753357
168,193,acausal,False,0.66483,0.3166,0.26307,0.007670000195503235,0.008030000142753124,0.004430000204592943,0.9586520195007324
169,194,acausal,False,0.54333,0.15427,0.17433,0.021220000460743904,0.022989999502897263,0.005260000005364418,0.9384086728096008
170,195,acausal,False,0.4155,0.01619,0.01832,0.007029999978840351,0.007379999849945307,0.003860000055283308,0.9546170234680176
171,196,acausal,False,0.6075,0.26946,0.23514,0.008700000122189522,0.009429999627172947,0.0021299999207258224,0.953697919845581
172,197,acausal,False,0.5295,0.1484,0.12864,0.007829999551177025,0.008170000277459621,0.004840000066906214,0.959157407283783
173,198,acausal,False,0.43067,0.10371,0.06812,0.007930000312626362,0.008249999955296516,0.005119999870657921,0.9579386115074158
174,199,acausal,False,0.491,0.14492,0.10604,0.011989999562501907,0.012590000405907631,0.006579999811947346,0.9549850821495056
175,200,acausal,False,0.61633,0.28127,0.25958,0.004699999932199717,0.005040000192821026,0.001610000035725534,0.9664708375930786
176,201,acausal,False,0.59633,0.22383,0.17514,0.0042500002309679985,0.004189999774098396,0.004780000075697899,0.9660615921020508
177,202,acausal,False,0.66083,0.30719,0.25423,0.008419999852776527,0.008849999867379665,0.004559999797493219,0.9747621417045593
178,203,acausal,False,0.41217,0.07048,0.03245,0.0016299999551847577,0.0016599999507889152,0.0013699999544769526,0.9760648012161255
179,204,acausal,False,0.51333,0.1106,0.11626,0.011900000274181366,0.012609999626874924,0.005510000046342611,0.9794443249702454
180,205,acausal,False,0.54733,0.18477,0.18059,0.007799999788403511,0.008410000242292881,0.002360000042244792,0.9525679349899292
181,206,acausal,False,0.59483,0.24743,0.20227,0.015429999679327011,0.016659999266266823,0.004339999984949827,0.9439918398857117
182,207,acausal,False,0.6185,0.21644,0.2044,0.005810000002384186,0.005919999908655882,0.004840000066906214,0.9738381505012512
183,208,acausal,False,0.58183,0.25871,0.232,0.045889999717473984,0.05042000114917755,0.005140000022947788,0.9428554773330688
184,209,acausal,False,0.4625,0.08551,0.04769,0.004900000058114529,0.0049299998208880424,0.004679999779909849,0.9580110907554626
185,210,acausal,False,0.464,0.11028,0.06658,0.004379999823868275,0.00471000000834465,0.0013500000350177288,0.9743542671203613
186,211,acausal,False,0.43267,0.0259,0.02621,0.005150000099092722,0.005289999768137932,0.003860000055283308,0.9617365002632141
187,212,acausal,False,0.5115,0.19048,0.16867,0.011309999972581863,0.012020000256597996,0.0049600000493228436,0.9719017148017883
188,213,acausal,False,0.5025,0.12249,0.09162,0.006560000125318766,0.007009999826550484,0.0024900001008063555,0.9485195279121399
189,214,acausal,False,0.43167,0.10552,0.06126,0.00559999980032444,0.005659999791532755,0.005080000031739473,0.9784987568855286
190,215,acausal,False,0.5245,0.16307,0.13086,0.01947000063955784,0.021069999784231186,0.005109999794512987,0.9632903933525085
191,216,acausal,False,0.41083,0.05869,0.02619,0.00431999983265996,0.0042500002309679985,0.004989999812096357,0.9655933380126953
192,217,acausal,False,0.645,0.25584,0.25711,0.0101500004529953,0.010730000212788582,0.004900000058114529,0.9827441573143005
193,218,acausal,False,0.57,0.28151,0.25038,0.00394000019878149,0.003920000046491623,0.004170000087469816,0.9651587605476379
194,219,acausal,False,0.489,0.16614,0.07279,0.0019399999873712659,0.0020000000949949026,0.00139999995008111,0.9824715256690979
195,220,acausal,False,0.474,0.11401,0.10031,0.006949999835342169,0.007180000189691782,0.004879999905824661,0.9254410862922668
196,221,acausal,False,0.58217,0.21228,0.19446,0.018489999696612358,0.0200399998575449,0.004540000110864639,0.9212356209754944
197,222,acausal,False,0.46,0.17749,0.13593,0.012769999913871288,0.013620000332593918,0.005160000175237656,0.9778038859367371
198,223,acausal,False,0.60717,0.3018,0.29987,0.0106800002977252,0.011339999735355377,0.004749999847263098,0.9745140075683594
199,224,acausal,False,0.50517,0.08923,0.10134,0.07582999765872955,0.0836699977517128,0.005239999853074551,0.8966668248176575
